49;8;56;22;32712
49;8;56;22;32574
49;9;56;23;32407
49;9;56;23;32141
49;9;56;23;30798
49;9;56;23;29071
59;-1;67;13;25469
31;9;38;20;24736
31;9;38;19;22254
31;9;38;20;18420
49;9;56;23;16383
57;1;65;13;16383
58;-1;66;13;15361
31;9;37;20;15361
60;0;67;13;14346
59;0;67;14;14346
57;1;65;12;13346
7;1;12;5;11424
49;7;57;21;8812
60;0;66;11;8415
31;9;37;19;8415
49;8;56;22;8415
48;8;56;22;8030
25;5;31;18;7657
32;9;38;19;7297
49;9;56;20;6949
30;9;36;20;6613
31;9;38;19;6613
60;2;66;13;6289
27;7;35;18;5977
49;10;56;23;5678
68;11;74;20;5390
32;9;38;20;5115
7;0;10;5;4851
60;2;66;13;4851
69;8;75;19;4851
25;7;31;18;4851
94;23;99;30;4851
94;23;100;34;4851
5;0;12;6;4357
7;0;12;5;4357
68;10;74;21;4357
6;17;9;23;4357
81;47;85;52;4357
93;54;96;60;4357
57;0;65;14;4357
68;11;74;22;4357
16;1;21;7;4126
60;1;66;10;4126
97;8;100;14;4126
95;24;99;32;4126
25;5;31;18;3905
25;7;31;16;3905
96;6;99;14;3905
31;9;37;20;3905
65;17;71;28;3905
81;46;85;52;3905
99;52;100;57;3905
92;54;96;60;3905
24;5;31;18;3905
25;6;33;19;3696
25;8;31;17;3696
49;9;56;20;3696
6;16;9;23;3696
56;-1;66;13;3696
9;0;12;5;3495
59;-1;67;12;3495
1;1;4;9;3495
6;0;11;6;3495
69;8;75;17;3495
68;13;73;19;3495
69;9;75;21;3495
31;12;37;21;3495
50;12;56;23;3495
58;15;64;26;3495
69;13;74;22;3495
68;11;74;22;3495
78;9;85;24;3495
80;10;86;24;3495
85;13;92;25;3495
6;17;9;23;3495
6;17;9;23;3495
67;13;74;26;3495
86;22;89;28;3495
86;22;89;28;3495
96;23;99;30;3495
81;27;88;38;3495
89;30;92;34;3495
81;29;88;38;3495
94;27;100;42;3495
80;46;83;52;3495
78;46;85;54;3495
24;45;31;56;3495
81;49;85;53;3495
81;48;85;54;3495
16;0;22;9;3305
49;9;56;21;3305
71;7;76;15;3305
78;9;86;23;3305
4;13;10;23;3305
70;12;76;23;3305
96;42;99;48;3305
0;0;3;5;3124
6;-1;13;5;3124
96;0;100;6;3124
0;2;3;8;3124
7;2;10;6;3124
6;0;13;6;3124
16;2;20;8;3124
16;1;22;10;3124
16;1;21;7;3124
60;0;68;11;3124
67;-1;75;9;3124
13;3;21;17;3124
23;4;31;18;3124
61;2;67;13;3124
69;5;75;16;3124
3;9;9;20;3124
25;7;31;16;3124
29;8;35;17;3124
59;1;67;15;3124
71;8;76;14;3124
70;6;76;16;3124
71;6;78;17;3124
85;6;93;19;3124
96;5;100;16;3124
5;13;8;17;3124
4;12;9;20;3124
16;9;20;19;3124
25;9;31;18;3124
29;10;35;18;3124
67;9;74;22;3124
70;10;76;20;3124
77;8;85;23;3124
85;9;92;23;3124
85;9;93;23;3124
23;13;31;23;3124
28;11;34;23;3124
32;10;40;21;3124
71;16;76;22;3124
71;14;76;22;3124
78;12;85;23;3124
85;16;89;21;3124
85;15;89;23;3124
84;13;90;24;3124
85;15;90;23;3124
87;13;93;27;3124
89;13;96;26;3124
3;13;9;26;3124
15;16;23;30;3124
23;19;27;25;3124
23;18;28;24;3124
57;16;65;28;3124
66;18;70;27;3124
67;16;74;25;3124
71;14;78;25;3124
80;12;86;26;3124
85;18;89;24;3124
85;16;89;24;3124
85;14;92;27;3124
89;16;94;26;3124
89;15;95;27;3124
91;18;96;26;3124
90;16;96;27;3124
57;16;63;29;3124
64;19;70;30;3124
65;19;71;28;3124
67;19;73;30;3124
78;24;81;29;3124
78;23;81;29;3124
77;20;83;31;3124
85;19;91;30;3124
89;20;94;27;3124
89;17;96;28;3124
92;20;96;28;3124
91;20;97;31;3124
93;23;99;32;3124
22;22;30;33;3124
79;25;82;30;3124
78;25;83;31;3124
78;23;84;34;3124
80;24;88;35;3124
87;25;90;30;3124
87;24;90;31;3124
92;23;99;35;3124
95;24;99;32;3124
78;27;85;38;3124
81;29;86;37;3124
82;31;87;37;3124
81;29;88;38;3124
89;29;92;35;3124
93;26;99;40;3124
79;29;85;38;3124
81;31;86;38;3124
83;31;88;38;3124
86;33;89;38;3124
86;32;89;38;3124
90;33;93;38;3124
90;32;93;38;3124
96;31;99;38;3124
96;38;99;46;3124
95;34;99;49;3124
5;44;8;49;3124
23;42;31;56;3124
23;41;31;55;3124
95;42;98;49;3124
24;45;31;56;3124
24;45;31;56;3124
74;47;78;52;3124
74;47;78;53;3124
80;47;83;52;3124
88;46;91;52;3124
88;46;91;52;3124
89;46;92;51;3124
88;45;91;52;3124
86;43;92;54;3124
2;45;9;56;3124
